product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,freight_value,payment_sequential,payment_installments,payment_value,review_score
1100.0,30.0,20.0,23.0,74.9,16.49,1.0,2.0,27.35,3.0
1400.0,38.0,40.0,39.0,14.95,18.23,1.0,4.0,43.77,4.0
250.0,20.0,14.0,12.0,149.9,43.11,1.0,2.0,68.49,5.0
1050.0,25.0,20.0,14.0,19.99,14.1,1.0,2.0,105.53,5.0
500.0,24.0,7.0,16.0,390.0,29.39,1.0,8.0,387.8,5.0
1467.0,23.0,16.0,20.0,135.0,21.75,1.0,1.0,84.14,5.0
100.0,16.0,5.0,11.0,104.0,16.43,1.0,4.0,210.82,5.0
100.0,16.0,5.0,16.0,149.0,15.8,1.0,1.0,90.05,4.0
300.0,23.0,7.0,15.0,279.9,13.46,1.0,1.0,67.88,5.0
950.0,60.0,15.0,15.0,44.9,23.22,1.0,2.0,37.58,5.0
250.0,17.0,3.0,11.0,37.99,19.18,1.0,1.0,89.63,5.0
12000.0,27.0,50.0,53.0,29.99,15.31,1.0,1.0,69.46,1.0
921.0,17.0,9.0,16.0,120.0,15.59,1.0,2.0,78.3,5.0
10000.0,60.0,25.0,25.0,492.75,21.62,1.0,1.0,50.8,3.0
250.0,16.0,11.0,11.0,94.9,18.54,1.0,1.0,34.0,5.0
1200.0,44.0,20.0,20.0,88.34,21.11,1.0,1.0,77.1,4.0
4800.0,25.0,8.0,25.0,199.99,65.56,1.0,5.0,566.4,3.0
700.0,40.0,20.0,20.0,99.9,19.67,1.0,8.0,402.42,5.0
1050.0,18.0,21.0,27.0,78.0,8.9,2.0,1.0,57.53,3.0
350.0,20.0,20.0,20.0,78.0,8.9,1.0,3.0,44.01,1.0
422.0,21.0,16.0,18.0,155.0,14.84,1.0,3.0,187.51,5.0
317.0,19.0,13.0,16.0,249.9,34.23,1.0,3.0,77.7,4.0
16400.0,63.0,66.0,56.0,53.98,23.31,1.0,1.0,48.68,5.0
938.0,29.0,22.0,23.0,8.99,32.57,1.0,1.0,77.29,5.0
2700.0,21.0,16.0,31.0,44.9,7.16,1.0,8.0,117.71,5.0
1750.0,30.0,18.0,30.0,60.6,17.67,1.0,3.0,169.34,5.0
3850.0,29.0,12.0,24.0,225.0,67.24,1.0,1.0,37.61,4.0
267.0,17.0,13.0,17.0,39.9,15.38,1.0,1.0,13.8,5.0
16200.0,55.0,40.0,40.0,76.0,34.07,1.0,1.0,227.12,5.0
1400.0,38.0,9.0,27.0,159.0,27.19,1.0,3.0,34.78,5.0
6450.0,100.0,10.0,11.0,102.9,14.45,1.0,10.0,342.56,3.0
2300.0,105.0,3.0,70.0,102.9,14.45,1.0,7.0,73.34,5.0
300.0,25.0,8.0,18.0,63.9,16.89,1.0,4.0,117.85,1.0
600.0,50.0,10.0,12.0,168.8,8.21,1.0,1.0,48.62,5.0
3600.0,20.0,20.0,20.0,59.9,9.94,1.0,1.0,53.99,1.0
150.0,20.0,24.0,33.0,59.9,9.94,1.0,1.0,51.14,5.0
400.0,16.0,4.0,11.0,232.75,28.58,1.0,2.0,121.45,5.0
100.0,18.0,6.0,11.0,48.9,18.44,1.0,1.0,73.34,2.0
800.0,53.0,8.0,20.0,87.0,12.11,1.0,10.0,117.68,5.0
5250.0,47.0,19.0,23.0,131.9,18.54,1.0,1.0,56.77,5.0
200.0,35.0,4.0,26.0,19.9,14.1,1.0,2.0,115.59,5.0
335.0,17.0,11.0,12.0,136.99,66.04,1.0,6.0,60.07,3.0
1300.0,50.0,12.0,12.0,399.99,23.64,1.0,1.0,27.27,5.0
150.0,35.0,2.0,25.0,41.0,11.85,1.0,1.0,32.15,5.0
367.0,16.0,4.0,11.0,69.0,18.58,1.0,3.0,195.71,4.0
250.0,16.0,2.0,11.0,69.0,18.58,2.0,1.0,43.12,4.0
8500.0,75.0,25.0,55.0,169.9,33.33,1.0,1.0,88.49,5.0
2150.0,42.0,25.0,15.0,119.0,15.28,1.0,3.0,34.09,3.0
650.0,17.0,14.0,12.0,39.9,18.08,1.0,1.0,40.99,5.0
150.0,16.0,5.0,11.0,85.0,12.9,1.0,3.0,71.99,1.0
650.0,27.0,10.0,22.0,220.0,8.89,1.0,1.0,47.0,5.0
2700.0,20.0,26.0,32.0,277.0,35.74,1.0,3.0,81.78,5.0
1200.0,23.0,22.0,16.0,66.99,27.75,1.0,3.0,231.45,5.0
6050.0,55.0,10.0,46.0,14.0,50.85,1.0,7.0,144.2,3.0
150.0,16.0,6.0,11.0,85.0,17.03,1.0,1.0,35.14,5.0
1050.0,16.0,20.0,16.0,85.0,17.03,1.0,10.0,285.79,5.0
1350.0,23.0,7.0,30.0,229.0,9.8,1.0,2.0,176.7,5.0
600.0,36.0,6.0,19.0,99.9,0.0,1.0,2.0,27.63,5.0
1000.0,30.0,18.0,18.0,84.9,34.39,1.0,8.0,134.56,1.0
1550.0,43.0,8.0,33.0,189.0,33.91,1.0,4.0,96.98,5.0
2700.0,45.0,13.0,35.0,49.0,7.78,1.0,2.0,110.03,5.0
200.0,19.0,5.0,11.0,37.9,15.37,1.0,1.0,17.78,5.0
800.0,38.0,8.0,28.0,179.93,16.14,1.0,1.0,44.0,1.0
377.0,18.0,13.0,15.0,116.9,13.84,1.0,4.0,110.11,4.0
400.0,45.0,22.0,43.0,94.9,15.51,4.0,1.0,22.49,4.0
450.0,16.0,5.0,16.0,121.99,15.73,1.0,4.0,46.63,1.0
2000.0,32.0,51.0,16.0,7.79,7.78,1.0,1.0,52.21,4.0
300.0,16.0,2.0,11.0,179.99,85.97,1.0,2.0,61.77,5.0
250.0,26.0,14.0,14.0,7.6,10.96,1.0,1.0,121.88,4.0
1950.0,60.0,15.0,15.0,49.9,17.6,1.0,1.0,75.75,5.0
500.0,16.0,15.0,11.0,110.32,8.03,1.0,1.0,130.22,5.0
300.0,16.0,7.0,20.0,49.0,11.85,1.0,3.0,57.53,2.0
7900.0,70.0,15.0,70.0,159.9,61.18,1.0,7.0,76.02,5.0
1800.0,41.0,9.0,34.0,120.0,27.39,1.0,1.0,90.17,5.0
900.0,37.0,3.0,23.0,21.5,11.98,1.0,1.0,31.0,3.0
200.0,16.0,2.0,11.0,122.99,15.61,1.0,10.0,106.77,1.0
4500.0,80.0,70.0,28.0,72.99,19.75,1.0,1.0,163.25,5.0
250.0,21.0,7.0,15.0,129.99,13.93,1.0,1.0,233.66,4.0
550.0,16.0,25.0,12.0,92.0,17.89,1.0,1.0,163.08,3.0
1100.0,39.0,12.0,28.0,92.0,17.89,1.0,4.0,135.93,5.0
3600.0,40.0,20.0,40.0,33.89,8.4,1.0,1.0,267.05,5.0
100.0,16.0,3.0,11.0,33.89,8.4,1.0,7.0,186.72,3.0
150.0,16.0,18.0,16.0,33.89,8.4,2.0,1.0,30.0,3.0
3775.0,18.0,13.0,16.0,33.89,8.4,1.0,4.0,97.28,5.0
1400.0,25.0,20.0,20.0,149.0,40.37,1.0,1.0,48.61,5.0
900.0,22.0,7.0,18.0,20.3,16.79,1.0,1.0,116.7,5.0
250.0,20.0,12.0,20.0,179.9,15.01,1.0,1.0,41.42,5.0
350.0,21.0,9.0,16.0,179.9,15.01,1.0,1.0,42.19,4.0
200.0,20.0,20.0,20.0,109.9,12.27,1.0,6.0,125.53,1.0
1800.0,18.0,32.0,27.0,89.0,25.9,1.0,5.0,92.76,5.0
5050.0,50.0,8.0,50.0,120.0,13.75,1.0,8.0,348.02,3.0
27100.0,50.0,50.0,50.0,75.0,14.28,1.0,2.0,203.3,4.0
1500.0,65.0,8.0,38.0,46.86,14.52,1.0,3.0,44.35,1.0
500.0,16.0,11.0,11.0,96.0,14.84,1.0,10.0,116.05,1.0
350.0,16.0,10.0,16.0,49.99,18.12,1.0,1.0,85.14,5.0
500.0,16.0,12.0,17.0,24.99,13.58,1.0,4.0,236.66,5.0
1000.0,20.0,20.0,20.0,24.99,13.58,1.0,4.0,220.3,5.0
18500.0,41.0,30.0,41.0,120.1,16.6,1.0,1.0,180.55,1.0
300.0,24.0,11.0,24.0,69.9,16.25,1.0,1.0,45.46,5.0
250.0,16.0,2.0,20.0,39.9,54.02,1.0,1.0,26.08,2.0
10700.0,40.0,40.0,40.0,159.9,20.31,1.0,1.0,375.74,5.0
1700.0,32.0,21.0,22.0,540.0,16.22,1.0,5.0,123.41,4.0
7700.0,39.0,28.0,25.0,189.9,31.17,1.0,10.0,379.07,5.0
5200.0,20.0,60.0,35.0,14.9,8.27,1.0,10.0,2027.16,5.0
125.0,17.0,10.0,14.0,43.9,11.85,1.0,1.0,45.5,5.0
15700.0,58.0,28.0,58.0,139.0,87.28,1.0,1.0,91.17,3.0
350.0,16.0,11.0,11.0,40.35,13.71,1.0,1.0,93.26,5.0
213.0,16.0,10.0,13.0,469.0,20.85,2.0,1.0,30.0,5.0
150.0,16.0,11.0,11.0,59.0,16.17,1.0,10.0,165.96,5.0
18200.0,56.0,15.0,15.0,35.9,15.79,2.0,1.0,50.0,4.0
850.0,18.0,21.0,15.0,35.9,15.79,1.0,10.0,1002.73,1.0
1050.0,16.0,20.0,16.0,96.99,16.44,1.0,1.0,116.56,1.0
200.0,16.0,9.0,11.0,77.9,13.89,1.0,2.0,240.52,1.0
300.0,16.0,15.0,11.0,229.99,20.8,1.0,3.0,33.13,5.0
200.0,23.0,9.0,13.0,56.0,14.14,1.0,1.0,213.9,3.0
800.0,20.0,25.0,25.0,69.99,11.99,1.0,8.0,362.17,5.0
200.0,24.0,7.0,14.0,49.9,7.78,1.0,2.0,88.72,5.0
698.0,46.0,10.0,14.0,14.0,7.39,1.0,2.0,46.85,5.0
350.0,17.0,4.0,12.0,29.0,14.1,1.0,1.0,68.54,5.0
1000.0,24.0,5.0,17.0,99.0,43.06,1.0,1.0,32.62,4.0
783.0,21.0,13.0,28.0,499.0,30.35,1.0,8.0,340.08,5.0
600.0,20.0,20.0,20.0,39.85,12.79,1.0,1.0,82.06,5.0
11650.0,55.0,30.0,30.0,149.0,14.06,1.0,1.0,40.95,5.0
400.0,16.0,2.0,11.0,179.98,12.46,1.0,3.0,67.01,3.0
3050.0,40.0,10.0,40.0,219.99,14.9,5.0,1.0,20.0,5.0
100.0,16.0,3.0,11.0,129.0,8.16,2.0,1.0,76.9,3.0
16500.0,40.0,25.0,26.0,137.0,15.71,1.0,4.0,40.27,4.0
750.0,34.0,14.0,24.0,37.0,10.96,1.0,8.0,242.1,4.0
250.0,36.0,4.0,20.0,154.0,14.83,1.0,1.0,207.24,5.0
2300.0,84.0,14.0,20.0,253.52,82.86,1.0,2.0,215.56,1.0
1350.0,33.0,12.0,26.0,49.9,7.39,1.0,1.0,39.92,4.0
530.0,17.0,20.0,20.0,148.9,13.95,1.0,8.0,156.09,5.0
1300.0,20.0,20.0,20.0,64.9,18.69,1.0,2.0,131.5,5.0
4000.0,57.0,14.0,36.0,179.0,16.0,1.0,1.0,137.73,1.0
8150.0,20.0,20.0,20.0,27.9,15.1,1.0,1.0,31.75,5.0
2200.0,16.0,2.0,11.0,39.0,16.11,1.0,8.0,348.77,4.0
1150.0,20.0,25.0,20.0,7.0,14.1,1.0,1.0,12.22,4.0
200.0,16.0,2.0,11.0,269.0,10.7,1.0,4.0,139.87,4.0
400.0,16.0,20.0,16.0,99.9,17.95,1.0,12.0,257.1,5.0
600.0,29.0,12.0,23.0,69.9,15.24,1.0,3.0,269.46,3.0
300.0,35.0,7.0,12.0,89.9,23.13,1.0,1.0,40.0,1.0
1200.0,16.0,10.0,16.0,165.0,19.03,1.0,10.0,350.09,5.0
10664.0,61.0,63.0,35.0,57.99,11.73,2.0,6.0,134.55,5.0
1800.0,50.0,12.0,36.0,259.0,10.63,1.0,3.0,112.73,5.0
500.0,16.0,2.0,11.0,55.0,7.65,1.0,1.0,72.05,3.0
258.0,19.0,12.0,19.0,133.0,16.69,1.0,1.0,0.67,5.0
1400.0,16.0,44.0,37.0,35.9,18.23,1.0,2.0,77.77,5.0
400.0,35.0,7.0,35.0,14.89,18.23,1.0,2.0,26.68,5.0
1300.0,30.0,10.0,30.0,99.0,13.0,1.0,1.0,371.42,4.0
1000.0,30.0,10.0,25.0,90.0,9.44,1.0,6.0,225.71,5.0
1300.0,30.0,10.0,18.0,43.49,27.39,1.0,3.0,103.79,3.0
3305.0,38.0,36.0,19.0,109.99,36.85,1.0,1.0,65.0,5.0
6000.0,75.0,15.0,50.0,9.99,15.23,2.0,1.0,69.8,5.0
300.0,35.0,5.0,25.0,9.99,15.23,2.0,1.0,20.09,3.0
250.0,20.0,2.0,15.0,28.5,34.15,1.0,1.0,125.41,5.0
400.0,18.0,11.0,11.0,199.0,8.74,1.0,1.0,95.99,3.0
250.0,16.0,10.0,30.0,135.9,21.44,1.0,2.0,25.33,5.0
1250.0,29.0,19.0,22.0,249.0,37.09,1.0,1.0,52.57,3.0
950.0,40.0,6.0,40.0,49.99,15.56,1.0,2.0,145.58,5.0
2000.0,30.0,34.0,17.0,38.0,7.53,1.0,3.0,49.7,5.0
13575.0,71.0,81.0,44.0,85.0,11.62,1.0,1.0,47.43,1.0
667.0,17.0,16.0,16.0,117.3,25.66,1.0,2.0,168.57,3.0
267.0,17.0,11.0,12.0,99.9,18.57,1.0,1.0,133.81,5.0
1750.0,45.0,20.0,40.0,99.9,14.35,2.0,1.0,1.23,5.0
150.0,16.0,12.0,11.0,18.0,7.87,1.0,1.0,123.82,1.0
10550.0,65.0,7.0,45.0,11.53,7.39,1.0,3.0,283.66,1.0
1725.0,100.0,35.0,16.0,269.99,39.41,1.0,1.0,89.88,1.0
700.0,45.0,10.0,31.0,89.99,14.8,1.0,1.0,32.38,5.0
400.0,34.0,16.0,16.0,19.9,42.76,1.0,1.0,43.08,5.0
300.0,30.0,10.0,20.0,166.9,13.47,1.0,1.0,254.58,5.0
5850.0,60.0,25.0,25.0,133.74,12.44,2.0,1.0,48.91,3.0
267.0,17.0,11.0,13.0,86.8,7.86,1.0,4.0,48.22,5.0
1500.0,39.0,12.0,25.0,62.0,8.59,1.0,6.0,67.58,4.0
400.0,24.0,16.0,14.0,158.0,10.68,1.0,10.0,311.18,5.0
1300.0,31.0,32.0,31.0,308.0,31.16,1.0,4.0,154.14,4.0
400.0,16.0,10.0,14.0,129.0,47.4,1.0,2.0,333.68,5.0
150.0,25.0,2.0,19.0,143.54,21.49,1.0,1.0,404.88,3.0
650.0,25.0,13.0,14.0,39.99,18.23,1.0,1.0,44.77,4.0
706.0,32.0,8.0,38.0,39.99,18.23,1.0,1.0,1302.42,5.0
300.0,25.0,10.0,25.0,49.9,12.92,1.0,10.0,645.8,4.0
4850.0,75.0,5.0,50.0,119.9,23.34,1.0,1.0,186.39,5.0
825.0,20.0,24.0,15.0,16.9,15.1,1.0,10.0,208.41,5.0
600.0,46.0,3.0,15.0,29.99,15.1,1.0,1.0,76.39,1.0
700.0,23.0,9.0,11.0,30.99,34.15,1.0,2.0,67.42,5.0
300.0,40.0,10.0,27.0,84.99,15.34,1.0,4.0,232.05,1.0
1270.0,17.0,14.0,17.0,149.0,45.12,1.0,1.0,69.33,1.0
450.0,20.0,2.0,11.0,48.9,8.82,1.0,3.0,641.2,5.0
2200.0,16.0,2.0,11.0,159.49,8.86,1.0,1.0,41.86,5.0
150.0,18.0,8.0,13.0,249.9,41.53,1.0,1.0,50.0,1.0
200.0,16.0,3.0,11.0,24.89,7.75,1.0,1.0,106.96,5.0
10893.0,33.0,88.0,44.0,53.99,7.78,1.0,10.0,2288.31,5.0
1800.0,25.0,7.0,20.0,15.99,7.39,1.0,1.0,69.9,1.0
1220.0,20.0,33.0,22.0,24.5,11.85,1.0,1.0,88.08,5.0
360.0,30.0,19.0,22.0,179.0,22.99,1.0,4.0,117.39,5.0
175.0,22.0,11.0,15.0,37.9,21.43,1.0,1.0,194.91,5.0
1900.0,50.0,13.0,70.0,89.9,22.56,1.0,1.0,68.89,5.0
250.0,20.0,20.0,20.0,89.9,22.56,1.0,2.0,151.51,3.0
6950.0,85.0,11.0,50.0,89.9,22.56,1.0,1.0,54.85,5.0
1100.0,55.0,5.0,40.0,88.34,29.08,1.0,1.0,103.68,4.0
300.0,17.0,7.0,24.0,177.9,18.5,1.0,1.0,225.63,5.0
16500.0,58.0,28.0,58.0,32.99,14.1,1.0,1.0,39.6,5.0
300.0,16.0,23.0,19.0,69.9,0.0,1.0,10.0,159.18,5.0
1836.0,61.0,6.0,24.0,109.9,12.27,1.0,1.0,234.43,1.0
175.0,18.0,22.0,16.0,52.99,22.3,1.0,1.0,44.83,5.0
675.0,22.0,24.0,21.0,110.9,14.51,1.0,4.0,205.44,2.0
200.0,26.0,5.0,20.0,35.9,12.48,1.0,1.0,13.55,2.0
1200.0,30.0,20.0,30.0,39.0,7.53,1.0,1.0,221.96,2.0
200.0,39.0,2.0,30.0,27.9,7.46,1.0,1.0,52.38,5.0
16100.0,63.0,61.0,24.0,579.0,65.34,1.0,9.0,131.47,5.0
117.0,19.0,4.0,12.0,99.9,23.57,1.0,2.0,38.06,5.0
455.0,36.0,18.0,27.0,37.0,19.32,2.0,1.0,35.0,1.0
550.0,16.0,10.0,16.0,116.6,30.66,1.0,3.0,143.65,5.0
750.0,22.0,12.0,33.0,49.0,19.25,1.0,3.0,86.73,5.0
586.0,18.0,11.0,13.0,27.9,9.26,1.0,5.0,118.35,5.0
540.0,16.0,27.0,16.0,65.0,25.73,1.0,1.0,341.58,5.0
3700.0,30.0,20.0,20.0,39.9,11.85,1.0,2.0,105.42,5.0
3150.0,30.0,17.0,30.0,105.0,17.87,1.0,4.0,68.16,5.0
2100.0,53.0,27.0,40.0,25.79,23.33,1.0,10.0,357.97,4.0
314.0,20.0,19.0,18.0,25.79,23.33,3.0,1.0,2.99,4.0
550.0,23.0,15.0,23.0,146.01,13.68,1.0,1.0,92.57,1.0
13825.0,70.0,35.0,49.0,189.9,26.61,1.0,2.0,68.35,5.0
850.0,40.0,6.0,50.0,139.65,26.26,1.0,13.0,197.23,5.0
250.0,21.0,4.0,13.0,59.9,7.68,1.0,3.0,153.67,5.0
400.0,20.0,20.0,20.0,13.65,15.23,1.0,3.0,46.43,5.0
400.0,16.0,20.0,15.0,31.9,16.11,1.0,4.0,102.03,5.0
200.0,16.0,2.0,16.0,33.99,16.6,1.0,5.0,119.45,5.0
250.0,20.0,20.0,20.0,158.9,14.59,1.0,1.0,44.23,5.0
1950.0,17.0,11.0,12.0,47.4,11.85,1.0,1.0,67.5,5.0
300.0,35.0,10.0,25.0,50.0,21.19,5.0,1.0,8.75,5.0
1050.0,30.0,45.0,11.0,59.9,11.15,1.0,2.0,44.27,5.0
400.0,16.0,7.0,11.0,199.0,39.66,1.0,1.0,37.15,4.0
1000.0,56.0,9.0,22.0,199.0,39.66,1.0,2.0,114.13,5.0
150.0,16.0,16.0,11.0,69.9,23.07,1.0,1.0,396.97,5.0
700.0,16.0,16.0,16.0,50.21,15.1,1.0,10.0,185.85,1.0
450.0,17.0,7.0,17.0,39.9,16.6,1.0,3.0,62.11,5.0
2000.0,30.0,12.0,16.0,24.99,14.1,1.0,2.0,25.23,1.0
21400.0,20.0,20.0,20.0,130.0,19.01,1.0,5.0,153.22,5.0
300.0,16.0,7.0,11.0,89.99,7.88,1.0,1.0,145.01,4.0
188.0,20.0,16.0,15.0,69.0,15.69,1.0,1.0,70.89,3.0
300.0,16.0,30.0,20.0,165.5,15.8,1.0,6.0,114.34,1.0
13600.0,26.0,60.0,40.0,175.91,52.69,1.0,2.0,31.38,5.0
800.0,25.0,25.0,25.0,165.5,15.8,1.0,5.0,256.5,5.0
300.0,18.0,8.0,14.0,165.5,15.8,1.0,1.0,341.4,4.0
1400.0,65.0,12.0,12.0,98.81,13.81,1.0,1.0,143.99,4.0
650.0,13.0,11.0,12.0,78.0,7.8,1.0,1.0,84.88,5.0
600.0,26.0,17.0,17.0,21.8,12.48,1.0,8.0,232.27,3.0
3000.0,69.0,11.0,11.0,118.9,18.93,1.0,5.0,194.0,1.0
950.0,46.0,10.0,33.0,119.8,20.18,1.0,1.0,260.57,1.0
17400.0,42.0,35.0,42.0,45.0,7.39,1.0,1.0,49.59,1.0
300.0,16.0,2.0,11.0,449.0,20.39,1.0,3.0,196.55,5.0
700.0,20.0,20.0,20.0,139.85,16.61,1.0,1.0,245.94,5.0
625.0,21.0,16.0,17.0,139.85,16.61,2.0,1.0,72.42,4.0
3250.0,32.0,14.0,22.0,18.9,12.48,1.0,2.0,217.15,5.0
1500.0,22.0,12.0,33.0,29.9,16.79,1.0,4.0,152.28,4.0
250.0,32.0,3.0,23.0,39.9,15.1,1.0,3.0,72.34,3.0
425.0,31.0,6.0,12.0,59.0,13.07,1.0,5.0,128.95,4.0
150.0,20.0,8.0,13.0,199.0,67.69,1.0,1.0,56.85,5.0
350.0,68.0,8.0,13.0,32.0,7.39,1.0,1.0,20.29,5.0
300.0,29.0,7.0,16.0,110.0,18.35,1.0,1.0,171.75,5.0
100.0,19.0,3.0,11.0,79.9,14.65,1.0,1.0,85.82,5.0
550.0,16.0,21.0,18.0,24.99,14.1,1.0,1.0,56.05,3.0
250.0,16.0,27.0,15.0,79.0,13.91,1.0,1.0,26.09,1.0
1000.0,26.0,40.0,20.0,59.9,17.67,1.0,1.0,41.17,5.0
14850.0,35.0,102.0,35.0,19.9,15.1,1.0,1.0,37.25,1.0
850.0,42.0,25.0,15.0,158.0,15.2,1.0,5.0,135.13,4.0
1850.0,28.0,14.0,19.0,1050.61,25.13,1.0,5.0,477.45,5.0
300.0,16.0,2.0,11.0,106.9,18.0,1.0,2.0,440.12,5.0
200.0,19.0,4.0,11.0,362.45,25.12,1.0,1.0,67.7,4.0
150.0,22.0,3.0,15.0,44.55,11.74,1.0,1.0,168.51,4.0
900.0,16.0,16.0,16.0,14.99,15.1,1.0,1.0,31.86,4.0
1900.0,44.0,19.0,19.0,14.99,15.1,1.0,1.0,40.87,5.0
1450.0,45.0,10.0,15.0,14.99,15.1,1.0,10.0,109.59,5.0
1100.0,29.0,3.0,21.0,14.99,15.1,1.0,3.0,206.87,5.0
200.0,16.0,11.0,11.0,125.9,18.13,1.0,1.0,134.38,1.0
12600.0,20.0,10.0,20.0,99.9,26.84,1.0,1.0,56.06,4.0
1450.0,25.0,25.0,16.0,149.0,40.37,1.0,3.0,264.08,1.0
800.0,42.0,25.0,15.0,19.9,14.1,1.0,10.0,240.77,5.0
1300.0,22.0,14.0,14.0,59.9,9.17,1.0,2.0,91.72,5.0
150.0,22.0,3.0,15.0,320.0,14.68,1.0,4.0,49.01,5.0
200.0,20.0,20.0,20.0,59.9,14.59,1.0,1.0,107.87,2.0
11450.0,23.0,43.0,35.0,29.99,15.11,1.0,3.0,62.01,3.0
2200.0,20.0,20.0,20.0,69.0,21.17,1.0,1.0,36.69,3.0
13200.0,66.0,19.0,67.0,56.0,18.69,1.0,3.0,35.0,5.0
200.0,16.0,2.0,11.0,160.0,19.0,1.0,8.0,256.37,5.0
150.0,19.0,11.0,11.0,57.95,22.34,1.0,1.0,47.84,3.0
3350.0,30.0,30.0,30.0,64.9,20.18,1.0,5.0,125.87,5.0
